ward_1,hh_number,head_gender,households_no,people_no,own_dogs,dog_no,dogs_vacc,fenced,fence_restrain,shelter,rabies_aware
Kiptuiya,205,male,1,4,yes,1,0,yes,yes,no,1
Sangalo,206,male,2,6,yes,1,0,yes,no,no,1
Chepterwai,207,male,1,5,no,,,,,,1
Kiptuiya,208,male,1,4,no,,,,,,1
Chepterwai,209,female,2,2,no,,,,,,1
Chepterwai,210,female,1,4,no,,,,,,1
Sangalo,211,female,3,16,yes,2,0,no,,no,1
Kiptuiya,212,female,2,8,yes,6,0,yes,no,yes,1
Sangalo,213,male,5,6,no,,,,,,0
Sangalo,214,male,1,4,yes,2,0,yes,no,no,1
Kiptuiya,215,male,1,3,yes,1,1,yes,yes,yes,1
Chepterwai,216,male,1,6,yes,1,0,yes,no,no,1
Chepterwai,217,male,2,5,yes,2,1,yes,no,no,1
Sangalo,218,female,2,9,no,,,,,,1
Sangalo,219,male,1,7,yes,2,1,yes,no,no,1
Kiptuiya,220,female,2,13,no,,,,,,0
Kiptuiya,221,female,3,6,yes,4,1,yes,no,no,1
Chepterwai,222,male,1,5,yes,1,1,yes,no,no,1
Sangalo,223,male,1,6,yes,1,0,yes,no,no,0
Chepterwai,224,female,1,4,no,,,,,,1
Sangalo,225,male,3,5,no,,,,,,1
Kiptuiya,226,female,1,4,no,,,,,,1
Sangalo,227,male,2,5,yes,4,0,yes,yes,yes,1
Chepterwai,228,male,1,4,no,,,,,,1
Sangalo,229,male,1,6,no,,,,,,1
Kiptuiya,230,male,1,6,yes,2,1,yes,yes,no,1
Chepterwai,231,female,1,3,yes,1,1,yes,no,yes,1
Kiptuiya,232,female,1,3,no,,,,,,1
Sangalo,233,male,1,5,no,,,,,,1
Chepterwai,234,male,2,5,yes,4,0,yes,no,no,1
Chepterwai,235,male,1,4,no,,,,,,1
Kiptuiya,236,female,1,4,no,,,,,,0
Kiptuiya,237,male,2,10,no,,,,,,1
Kiptuiya,238,female,1,2,no,,,,,,1
Chepterwai,239,male,1,8,no,,,,,,1
Chepterwai,240,male,1,7,no,,,,,,1
Sangalo,241,female,6,17,yes,7,0,yes,no,no,1
Chepterwai,242,male,2,6,yes,1,0,yes,no,yes,1
Sangalo,243,male,1,5,no,,,,,,1
Chepterwai,244,male,1,5,no,,,,,,1
Sangalo,245,female,1,6,yes,1,0,yes,no,no,1
Kiptuiya,246,male,2,11,yes,1,0,yes,no,yes,1
Chepterwai,247,male,2,3,yes,1,1,yes,no,no,1
Kiptuiya,248,male,1,8,yes,1,0,yes,no,no,1
Kiptuiya,249,male,1,9,yes,3,0,yes,no,no,1
Chepterwai,250,female,1,8,yes,2,0,yes,no,no,1
Chepterwai,251,male,3,9,yes,2,0,yes,no,no,1
Chepterwai,252,female,2,3,no,,,,,,1
Kiptuiya,253,male,1,9,no,,,,,,1
Sangalo,254,male,3,8,yes,2,0,no,,yes,1
Sangalo,255,male,1,8,yes,6,1,yes,no,no,1
Sangalo,256,male,1,9,no,,,,,,1
Chepterwai,257,male,1,4,no,,,,,,1
Chepterwai,258,male,2,7,no,,,,,,1
Kiptuiya,259,male,1,3,no,,,,,,1
Chepterwai,260,male,1,5,yes,1,0,yes,no,no,1
Kiptuiya,261,female,1,8,no,,,,,,1
Chepterwai,262,female,1,5,yes,2,1,yes,no,no,0
Sangalo,263,male,2,4,yes,3,0,no,,no,1
Sangalo,264,male,4,20,yes,1,0,no,,no,1
Chepterwai,265,male,1,5,no,,,,,,1
Sangalo,266,male,1,5,no,,,,,,1
Chepterwai,267,male,2,6,no,,,,,,1
Chepterwai,268,male,1,7,no,,,,,,1
Kiptuiya,269,female,5,5,no,,,,,,1
Sangalo,270,male,1,5,yes,1,0,yes,no,no,1
Chepterwai,271,female,3,5,yes,1,0,yes,no,no,0
Sangalo,272,male,2,4,no,,,,,,1
Chepterwai,273,male,1,6,no,,,,,,1
Kiptuiya,274,male,2,3,no,,,,,,1
Sangalo,275,male,3,13,yes,2,0,no,,no,1
Sangalo,276,male,2,12,no,,,,,,1
Chepterwai,277,female,3,6,yes,3,1,yes,no,no,1
Sangalo,278,male,2,5,no,,,,,,1
Chepterwai,279,male,1,4,no,,,,,,1
Sangalo,280,male,1,3,no,,,,,,1
Chepterwai,281,male,2,3,no,,,,,,1
Kiptuiya,282,male,1,7,no,,,,,,1
Sangalo,283,male,3,9,yes,2,0,no,,yes,1
Kiptuiya,284,male,1,7,no,,,,,,0
Chepterwai,285,male,3,5,yes,1,0,yes,no,no,1
Chepterwai,286,female,2,6,yes,3,0,yes,no,no,1
Kiptuiya,287,female,1,6,no,,,,,,0
Sangalo,288,male,2,6,yes,2,0,yes,no,no,1
Sangalo,289,female,1,7,no,,,,,,1
Chepterwai,290,male,1,4,no,,,,,,1
Sangalo,291,male,2,10,yes,1,0,no,,yes,1
Chepterwai,292,male,1,6,no,,,,,,1
Kiptuiya,293,female,1,4,yes,2,0,yes,no,no,0
Sangalo,294,male,3,12,yes,2,0,yes,no,no,0
Chepterwai,295,female,2,6,yes,2,1,yes,yes,yes,1
Sangalo,296,male,2,3,no,,,,,,1
Kiptuiya,297,female,1,8,yes,1,0,yes,yes,yes,1
Chepterwai,298,female,3,2,no,,,,,,1
Chepterwai,299,male,1,7,yes,4,0,yes,no,no,1
Sangalo,300,male,2,9,no,,,,,,1
Sangalo,301,male,1,7,yes,1,1,yes,yes,no,1
Chepterwai,302,female,2,5,no,,,,,,1
Kiptuiya,303,female,1,2,no,,,,,,1
Sangalo,304,female,1,3,no,,,,,,1
Chepterwai,305,male,1,6,yes,1,0,yes,no,no,1
Chepterwai,306,male,1,8,yes,5,0,yes,no,no,1
Chepterwai,307,male,1,2,no,,,,,,1
Sangalo,308,female,7,32,yes,6,0,yes,no,no,1
Kiptuiya,309,male,2,8,no,,,,,,1
Kiptuiya,310,male,1,3,no,,,,,,1
Sangalo,311,male,1,5,yes,1,0,yes,no,no,1
Sangalo,312,female,2,9,yes,2,0,yes,no,yes,1
Chepterwai,313,male,1,8,no,,,,,,1
Sangalo,314,female,1,4,yes,2,1,yes,no,no,1
Kiptuiya,315,female,1,12,yes,3,0,no,,yes,0
Chepterwai,316,male,2,4,no,,,,,,1
Kiptuiya,317,male,2,5,no,,,,,,0
Sangalo,318,male,2,8,no,,,,,,0
Chepterwai,319,male,1,2,yes,1,0,no,,no,1
Chepterwai,320,female,2,15,yes,6,0,yes,no,no,1
Chepterwai,321,female,1,6,yes,2,0,yes,no,yes,0
Sangalo,322,male,3,4,yes,1,1,yes,no,no,1
Kiptuiya,323,male,1,7,no,,,,,,1
Chepterwai,324,female,1,1,yes,1,1,no,,no,1
Sangalo,325,male,3,13,yes,1,0,yes,no,no,1
Sangalo,326,male,3,12,yes,3,0,no,,no,0
Chepterwai,327,female,2,6,yes,1,0,no,,no,1
Kiptuiya,328,male,3,13,yes,10,1,yes,no,no,1
Chepterwai,329,female,1,7,yes,2,0,no,,no,1
Chepterwai,330,female,1,5,no,,,,,,1
Sangalo,331,male,2,5,no,,,,,,1
Sangalo,332,male,3,20,yes,2,0,yes,no,yes,1
Kiptuiya,333,female,1,7,yes,2,0,yes,no,yes,1
Kiptuiya,334,male,1,7,yes,2,1,yes,no,no,1
Sangalo,335,male,1,4,yes,1,0,yes,no,no,1
Chepterwai,336,female,1,3,yes,2,0,yes,yes,yes,0
Sangalo,337,male,1,3,no,,,,,,1
Sangalo,338,male,4,12,yes,2,0,no,,no,1
Kiptuiya,339,male,3,7,yes,1,1,yes,no,no,1
Chepterwai,340,female,2,5,yes,1,0,yes,no,no,1
Chepterwai,341,male,1,3,no,,,,,,1
Sangalo,342,male,4,12,yes,2,0,yes,no,yes,1
Sangalo,343,male,1,4,yes,1,0,yes,no,no,1
Sangalo,344,female,1,4,no,,,,,,1
Sangalo,345,female,1,7,no,,,,,,1
Kiptuiya,346,female,1,3,no,,,,,,0
Kiptuiya,347,male,1,5,yes,1,0,yes,no,yes,1
Kiptuiya,348,male,2,10,no,,,,,,1
Sangalo,349,male,2,12,yes,1,0,no,,no,1
Chepterwai,350,male,4,9,yes,3,0,yes,no,no,1
Kiptuiya,351,female,3,10,no,,,,,,0
Sangalo,352,male,1,8,yes,1,0,yes,no,yes,1
Sangalo,353,male,1,5,no,,,,,,1
Sangalo,354,female,2,7,no,,,,,,1
Sangalo,355,male,1,7,no,,,,,,1
Chepterwai,356,male,1,5,yes,2,1,yes,no,no,1
Sangalo,357,male,1,6,yes,1,0,yes,no,no,1
Sangalo,358,male,2,8,no,,,,,,1
Chepterwai,359,male,1,7,yes,3,0,yes,no,yes,1
Sangalo,360,female,1,4,no,,,,,,1
Chepterwai,361,male,1,8,no,,,,,,1
Chepterwai,362,male,5,20,yes,8,1,no,,yes,1
Sangalo,363,male,1,4,no,,,,,,0
Chepterwai,364,male,1,8,yes,4,1,yes,no,no,1
Sangalo,365,male,1,5,yes,1,0,yes,no,yes,1
Chepterwai,366,male,1,4,no,,,,,,1
Sangalo,367,male,1,10,no,,,,,,1
Chemelil/Chemase,368,male,1,2,yes,2,0,no,,no,1
Chemelil/Chemase,369,female,1,5,yes,3,0,no,,no,0
Chepkunyuk,370,male,2,5,no,,,,,,1
Chemelil/Chemase,371,male,1,4,yes,1,0,yes,no,no,1
Chemelil/Chemase,372,male,1,6,yes,4,1,yes,no,no,1
Chepkunyuk,373,female,3,4,no,,,,,,1
Chepkunyuk,374,male,1,4,no,,,,,,1
Chemelil/Chemase,375,male,2,8,yes,2,0,no,,no,1
Chemelil/Chemase,376,male,2,7,yes,2,0,yes,no,no,1
Chepkunyuk,377,female,3,4,yes,1,1,yes,no,no,1
Chemelil/Chemase,378,male,1,6,yes,7,1,yes,no,no,0
Chemelil/Chemase,379,female,1,1,no,,,,,,0
Chemelil/Chemase,380,male,3,13,no,,,,,,0
Chepkunyuk,381,male,4,4,yes,1,0,no,,no,1
Chemelil/Chemase,382,male,2,5,no,,,,,,0
Chemelil/Chemase,383,female,5,5,yes,2,1,yes,no,no,1
Chemelil/Chemase,384,male,2,7,yes,3,1,yes,no,no,1
Chemelil/Chemase,385,male,1,4,yes,1,0,yes,no,no,1
Chepkunyuk,386,male,4,8,yes,1,0,yes,no,no,1
Chemelil/Chemase,387,female,1,6,yes,1,0,no,,no,1
Chemelil/Chemase,388,female,8,8,yes,3,0,no,,no,0
Chemelil/Chemase,389,female,1,4,no,,,,,,1
Chepkunyuk,390,male,2,5,no,,,,,,1
Chemelil/Chemase,391,female,1,6,yes,1,0,no,,no,1
Chepkunyuk,392,male,1,7,yes,3,0,yes,no,yes,0
Chemelil/Chemase,393,male,1,8,no,,,,,,1
Chepkunyuk,394,male,1,5,no,,,,,,1
Chepkunyuk,395,female,5,22,yes,2,0,,,,1
Chemelil/Chemase,396,male,2,10,yes,2,0,yes,no,no,1
Chemelil/Chemase,397,male,6,6,yes,5,1,yes,no,no,1
Chepkunyuk,398,male,1,7,yes,1,,yes,yes,no,1
Chepkunyuk,399,male,3,4,yes,1,1,yes,no,no,1
Chepkunyuk,400,female,1,1,no,,,,,,1
Chemelil/Chemase,401,male,1,9,yes,1,0,no,,no,1
Chemelil/Chemase,402,male,2,5,yes,1,0,,,no,1
Chemelil/Chemase,403,male,1,4,no,,,,,,1
Chepkunyuk,404,male,2,5,no,,,,,,1
Chepkunyuk,405,male,2,5,yes,2,1,yes,no,no,1
Chepkunyuk,406,male,2,13,yes,2,0,yes,no,yes,1
Chemelil/Chemase,407,male,2,6,yes,3,1,no,,no,1
Chepkunyuk,408,male,2,6,yes,1,1,yes,no,no,1
Chepkunyuk,409,male,2,13,yes,3,0,yes,no,yes,1
Chemelil/Chemase,410,female,7,7,yes,5,1,yes,no,no,1
Ollessos,411,male,2,9,yes,1,0,yes,no,no,1
Chepkunyuk,412,female,2,5,no,,,,,,1
Chemelil/Chemase,413,male,1,5,yes,2,0,no,,no,0
Chemelil/Chemase,414,male,1,3,no,,,,,,1
Ollessos,415,male,1,9,no,,,,,,1
Chepkunyuk,416,male,2,2,yes,1,1,no,,no,1
Ollessos,417,male,1,4,no,,,,,,1
Chemelil/Chemase,418,female,1,4,yes,6,1,no,,no,1
Chepkunyuk,419,male,2,6,yes,2,1,yes,yes,yes,1
Chemelil/Chemase,420,male,4,4,yes,1,0,no,,no,1
Chepkunyuk,421,female,4,15,yes,2,1,no,,no,1
Chemelil/Chemase,422,female,2,2,no,,,,,,1
Chepkunyuk,423,male,2,4,no,,,,,,1
Chepkunyuk,424,male,2,5,no,,,,,,1
Chemelil/Chemase,425,male,2,4,no,,,,,,0
Chemelil/Chemase,426,male,6,6,yes,2,0,no,,no,1
Chemelil/Chemase,427,male,1,8,yes,2,0,yes,no,no,1
Chemelil/Chemase,428,male,2,8,yes,1,0,no,,no,1
Ollessos,429,male,1,4,yes,2,1,yes,no,no,1
Chepkunyuk,430,male,2,5,yes,1,1,yes,no,no,1
Ollessos,431,male,1,6,no,,,,,,1
Chepkunyuk,432,female,2,5,no,,,,,,1
Chepkunyuk,433,male,1,6,yes,1,0,yes,no,no,0
Chepkunyuk,434,male,1,6,yes,2,1,yes,yes,yes,1
Chemelil/Chemase,435,male,1,5,yes,4,1,yes,no,yes,1
Chemelil/Chemase,436,male,2,2,no,,,,,,1
Ollessos,437,male,1,4,yes,3,1,yes,no,no,1
Chepkunyuk,438,female,3,2,yes,1,0,yes,no,no,1
Chemelil/Chemase,439,male,1,6,yes,1,0,yes,no,no,0
Chepkunyuk,440,male,1,7,yes,1,1,no,,yes,1
Chemelil/Chemase,441,male,1,7,yes,3,0,no,,no,1
Chepkunyuk,442,female,2,7,yes,1,1,yes,yes,no,1
Chemelil/Chemase,443,male,6,6,yes,5,1,no,,no,1
Ollessos,444,male,1,5,no,,,,,,1
Chepkunyuk,445,male,2,4,no,,,,,,1
Chepkunyuk,446,male,1,9,no,,,,,,1
Ollessos,447,female,1,11,yes,12,0,yes,no,yes,0
Chemelil/Chemase,448,male,1,7,yes,3,0,no,,no,1
Chemelil/Chemase,449,male,1,3,no,,,,,,1
Chepkunyuk,450,male,2,7,yes,1,0,yes,no,no,1
Ollessos,451,male,1,5,no,,,,,,1
Chepkunyuk,452,female,2,8,yes,2,0,yes,no,yes,1
Chemelil/Chemase,453,male,,,yes,3,1,yes,no,no,1
Chepkunyuk,454,female,2,2,no,,,,,,0
Ollessos,455,male,1,5,yes,1,1,yes,no,no,1
Chemelil/Chemase,456,female,2,5,yes,6,0,yes,no,no,1
Chepkunyuk,457,male,1,7,no,,,,,,0
Ollessos,458,male,1,5,no,,,,,,1
Chemelil/Chemase,459,female,1,4,no,,,,,,1
Chemelil/Chemase,460,female,1,6,yes,1,0,no,,no,1
Chepkunyuk,461,male,2,7,no,,,,,,1
Chepkunyuk,462,male,2,7,no,,,,,,1
Chepkunyuk,463,female,2,3,no,,,,,,1
Chemelil/Chemase,464,male,2,7,yes,2,0,no,,no,1
Ollessos,465,male,1,5,no,,,,,,1
Chepkunyuk,466,female,2,4,yes,1,0,yes,no,no,1
Chepkunyuk,467,female,2,5,no,,,,,,1
Chemelil/Chemase,468,female,2,5,yes,1,0,no,,no,0
Chemelil/Chemase,469,male,1,4,no,,,,,,1
Chepkunyuk,470,male,1,1,no,,,,,,1
Ollessos,471,male,1,5,no,,,,,,1
